epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4119,2.18312,4.44858,0.02067,0.20579,0.20517,0.11739,0.03986,1.86598,10.0711,0.01771,0.000663082,0.000663082,0.000663082
2,115.702,2.20941,3.5882,0.02122,0.16358,0.16601,0.07018,0.02094,2.02214,4.99604,0.01954,0.00132097,0.00132097,0.00132097
3,172.499,2.32026,3.32641,0.02314,0.14328,0.13391,0.06233,0.01677,2.08161,4.09755,0.02033,0.00197006,0.00197006,0.00197006
4,229.236,2.32772,3.19345,0.02396,0.22534,0.15348,0.10032,0.02969,2.0766,4.89112,0.02112,0.0019604,0.0019604,0.0019604
5,287.391,2.28148,3.04135,0.02289,0.11703,0.20595,0.07534,0.0217,2.06918,4.26996,0.02121,0.0019472,0.0019472,0.0019472
6,344.197,2.28148,2.97137,0.02272,0.253,0.23101,0.15604,0.05225,1.95798,2.90145,0.01972,0.001934,0.001934,0.001934
7,401.6,2.25998,2.90772,0.02246,0.2382,0.22161,0.14015,0.04624,1.98755,2.77704,0.02046,0.0019208,0.0019208,0.0019208
8,458.868,2.19784,2.84836,0.02104,0.19155,0.24432,0.1233,0.04157,1.99986,2.81258,0.01943,0.0019076,0.0019076,0.0019076
9,516.103,2.23499,2.78769,0.0215,0.24287,0.23962,0.15039,0.05217,1.84127,2.53778,0.01836,0.0018944,0.0018944,0.0018944
10,572.409,2.20147,2.7461,0.02116,0.25256,0.29757,0.1747,0.06801,1.88601,3.46177,0.01896,0.0018812,0.0018812,0.0018812
11,629.302,2.18098,2.64148,0.02108,0.25083,0.28348,0.1687,0.06061,1.90921,2.71537,0.01907,0.001868,0.001868,0.001868
12,686.432,2.19263,2.69233,0.02107,0.26329,0.26938,0.17599,0.06463,1.92196,2.87748,0.01918,0.0018548,0.0018548,0.0018548
13,741.889,2.11931,2.70083,0.02107,0.27224,0.26155,0.17062,0.05953,2.03842,2.26518,0.02011,0.0018416,0.0018416,0.0018416
14,797.444,2.16916,2.67014,0.02102,0.27943,0.27721,0.18801,0.07133,1.82411,3.07996,0.01755,0.0018284,0.0018284,0.0018284
15,852.934,2.13103,2.61678,0.02001,0.27209,0.31558,0.19445,0.07335,1.8481,2.7773,0.01763,0.0018152,0.0018152,0.0018152
16,908.396,2.13133,2.55398,0.02018,0.3389,0.28739,0.2218,0.08681,1.83123,2.22946,0.01791,0.001802,0.001802,0.001802
17,963.957,2.11614,2.58062,0.02034,0.29715,0.29366,0.18935,0.0727,1.84511,2.15368,0.01754,0.0017888,0.0017888,0.0017888
18,1019.54,2.11868,2.58509,0.01989,0.31741,0.29444,0.2265,0.09027,1.85695,2.39627,0.01865,0.0017756,0.0017756,0.0017756
19,1074.99,2.13462,2.59343,0.01955,0.28426,0.23571,0.16363,0.05646,2.06212,2.44811,0.02115,0.0017624,0.0017624,0.0017624
20,1130.5,2.1086,2.62697,0.02005,0.33363,0.29522,0.21606,0.08763,1.80673,2.31663,0.01699,0.0017492,0.0017492,0.0017492
21,1185.96,2.10292,2.52876,0.01991,0.28216,0.28426,0.18467,0.07052,1.86949,2.40604,0.01738,0.001736,0.001736,0.001736
22,1241.39,2.15169,2.52836,0.01967,0.2795,0.28896,0.19673,0.07178,1.88623,2.62184,0.018,0.0017228,0.0017228,0.0017228
23,1296.71,2.11942,2.54836,0.0198,0.27121,0.28739,0.18879,0.07909,1.77405,2.14037,0.01706,0.0017096,0.0017096,0.0017096
24,1352.22,2.0472,2.4871,0.01914,0.24598,0.27643,0.17657,0.07159,1.82936,2.36955,0.0173,0.0016964,0.0016964,0.0016964
25,1407.62,2.09128,2.48385,0.01966,0.30743,0.3195,0.21097,0.08193,1.82913,2.40536,0.01809,0.0016832,0.0016832,0.0016832
26,1463.09,2.08343,2.52205,0.01979,0.28245,0.31323,0.20475,0.08484,1.72318,2.40716,0.01676,0.00167,0.00167,0.00167
27,1519.19,2.0948,2.488,0.02002,0.3495,0.3195,0.23514,0.09693,1.83102,2.49435,0.0174,0.0016568,0.0016568,0.0016568
28,1575.12,2.07695,2.48804,0.01969,0.32297,0.28765,0.22416,0.09449,1.78588,2.12392,0.01615,0.0016436,0.0016436,0.0016436
29,1631.51,2.0665,2.43318,0.01915,0.32685,0.33594,0.24138,0.0869,1.80723,2.41242,0.01815,0.0016304,0.0016304,0.0016304
30,1686.95,2.07493,2.40725,0.01912,0.34289,0.34377,0.26058,0.10837,1.77408,2.03404,0.01702,0.0016172,0.0016172,0.0016172
31,1743.01,2.06247,2.44129,0.01983,0.34661,0.31167,0.24052,0.09908,1.73842,2.03058,0.01575,0.001604,0.001604,0.001604
32,1801.77,2.09266,2.42407,0.02012,0.34675,0.32811,0.27222,0.10381,1.82762,2.14006,0.01866,0.0015908,0.0015908,0.0015908
33,1859.54,2.0539,2.42851,0.01842,0.32936,0.33281,0.25675,0.10417,1.78195,2.09894,0.01737,0.0015776,0.0015776,0.0015776
34,1917.83,2.07071,2.38834,0.01912,0.33558,0.31872,0.2481,0.09904,1.80693,2.13136,0.01716,0.0015644,0.0015644,0.0015644
35,1974.02,2.02622,2.39081,0.01885,0.33828,0.33908,0.24476,0.09223,1.84328,1.93703,0.0189,0.0015512,0.0015512,0.0015512
36,2030.4,2.0473,2.3792,0.01932,0.31848,0.33593,0.23894,0.09287,1.77743,2.09148,0.01688,0.001538,0.001538,0.001538
37,2087.93,2.04251,2.3457,0.01877,0.34201,0.30697,0.24217,0.10205,1.7519,2.00095,0.01684,0.0015248,0.0015248,0.0015248
38,2146.28,2.06546,2.32487,0.01893,0.3667,0.30652,0.25523,0.09418,1.89307,2.07163,0.0185,0.0015116,0.0015116,0.0015116
39,2202.97,2.03981,2.32542,0.01808,0.38746,0.34475,0.28103,0.11849,1.75769,2.04053,0.01693,0.0014984,0.0014984,0.0014984
40,2259,2.04832,2.39209,0.01913,0.32403,0.32968,0.25505,0.09224,1.9279,2.28651,0.01921,0.0014852,0.0014852,0.0014852
41,2314.86,2.02728,2.38898,0.01896,0.3457,0.33908,0.25532,0.10603,1.79605,2.09967,0.01752,0.001472,0.001472,0.001472
42,2370.7,2.01206,2.28133,0.01855,0.3966,0.34143,0.29691,0.13048,1.68387,1.92127,0.01546,0.0014588,0.0014588,0.0014588
43,2426.68,2.03502,2.37223,0.01875,0.39555,0.35395,0.28801,0.11979,1.79184,1.90192,0.01771,0.0014456,0.0014456,0.0014456
44,2482.62,2.01952,2.30892,0.01836,0.38019,0.33594,0.28067,0.12018,1.78425,2.00165,0.01682,0.0014324,0.0014324,0.0014324
45,2538.6,2.02406,2.33353,0.01834,0.35099,0.33922,0.26913,0.11104,1.71511,2.04726,0.01656,0.0014192,0.0014192,0.0014192
46,2594.43,1.98887,2.29699,0.01859,0.38145,0.32655,0.2735,0.11539,1.76909,1.80679,0.01753,0.001406,0.001406,0.001406
47,2650.3,1.99357,2.24976,0.01805,0.3629,0.35004,0.2774,0.12132,1.75884,1.95869,0.01656,0.0013928,0.0013928,0.0013928
48,2706.09,2.04028,2.25534,0.01839,0.36326,0.3657,0.2762,0.11867,1.7126,2.02721,0.01581,0.0013796,0.0013796,0.0013796
49,2761.95,1.96825,2.27476,0.01805,0.36968,0.37431,0.30229,0.12563,1.68661,1.92847,0.01563,0.0013664,0.0013664,0.0013664
50,2817.82,2.02051,2.32533,0.01853,0.32881,0.34564,0.26257,0.10364,1.80445,2.04143,0.01772,0.0013532,0.0013532,0.0013532
51,2873.63,1.99931,2.28863,0.01808,0.37381,0.33673,0.28102,0.11639,1.77848,1.88646,0.01614,0.00134,0.00134,0.00134
52,2929.51,2.01013,2.25192,0.01828,0.35107,0.38058,0.29563,0.12677,1.69663,1.84919,0.01635,0.0013268,0.0013268,0.0013268
53,2985.39,1.96834,2.23403,0.0175,0.389,0.36694,0.28586,0.11819,1.70799,1.85429,0.01685,0.0013136,0.0013136,0.0013136
54,3041.21,2.00533,2.32333,0.01834,0.39206,0.34299,0.28595,0.12368,1.74625,1.71962,0.01716,0.0013004,0.0013004,0.0013004
55,3097.14,2.00643,2.25416,0.0181,0.40717,0.36734,0.30974,0.13133,1.759,1.904,0.01557,0.0012872,0.0012872,0.0012872
56,3153,2.01817,2.26905,0.01828,0.38311,0.37885,0.31661,0.13813,1.72369,2.10491,0.0153,0.001274,0.001274,0.001274
57,3208.89,1.99211,2.23873,0.01815,0.38864,0.34456,0.30643,0.13587,1.70415,1.72186,0.01606,0.0012608,0.0012608,0.0012608
58,3265,1.94681,2.21977,0.0176,0.37282,0.34847,0.29095,0.12618,1.74513,1.83281,0.01614,0.0012476,0.0012476,0.0012476
59,3320.92,1.94519,2.18798,0.01729,0.40018,0.38136,0.31635,0.13414,1.68673,1.96646,0.0153,0.0012344,0.0012344,0.0012344
60,3376.8,1.96626,2.24042,0.01742,0.41315,0.35724,0.31548,0.141,1.71217,1.75361,0.01567,0.0012212,0.0012212,0.0012212
61,3432.55,1.92225,2.17243,0.01776,0.38082,0.35865,0.2909,0.12605,1.67638,1.82107,0.01523,0.001208,0.001208,0.001208
62,3488.51,1.95596,2.17326,0.01735,0.38044,0.37267,0.31139,0.1401,1.68579,1.76685,0.01533,0.0011948,0.0011948,0.0011948
63,3548.1,1.97961,2.14328,0.01698,0.38872,0.36962,0.30652,0.13531,1.6554,1.81055,0.01496,0.0011816,0.0011816,0.0011816
64,3605.62,1.93558,2.13859,0.01761,0.41094,0.37197,0.30424,0.12838,1.75037,1.87583,0.01722,0.0011684,0.0011684,0.0011684
65,3663.05,1.96823,2.19052,0.01807,0.38646,0.35944,0.29744,0.13731,1.59889,1.82988,0.0144,0.0011552,0.0011552,0.0011552
66,3720.05,1.93224,2.11383,0.01799,0.41563,0.3843,0.32389,0.12987,1.72237,1.86438,0.01549,0.001142,0.001142,0.001142
67,3776.29,1.96847,2.1537,0.01692,0.40232,0.33908,0.29797,0.13949,1.64038,1.71357,0.01443,0.0011288,0.0011288,0.0011288
68,3832.98,1.91383,2.10798,0.01699,0.39518,0.39076,0.30842,0.14138,1.59758,1.7625,0.01393,0.0011156,0.0011156,0.0011156
