epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8023,2.12981,3.15386,4.9242,0.01566,2.72952,0.2552,0.19263,0.13647,0.05103,0.31022,0.21641,0.17077,0.04261,1.95754,2.39258,9.55466,0.0178,0,0.000661836,0.000661836,0.000661836
2,110.637,2.1811,2.87284,4.00505,0.01676,1.7506,0.26225,0.17004,0.11987,0.04211,0.21118,0.13436,0.07885,0.01909,2.24125,2.74889,7.75602,0.02228,0,0.00131535,0.00131535,0.00131535
3,165.246,2.33589,2.98012,3.51435,0.01857,1.75678,0.19353,0.239,0.11315,0.03467,0.1658,0.20927,0.09138,0.02085,2.05494,2.42424,4.96089,0.02096,0,0.00195566,0.00195566,0.00195566
4,219.688,2.37586,2.94753,3.08024,0.01983,1.69561,0.23604,0.18193,0.12427,0.04664,0.23555,0.18787,0.12183,0.02955,2.14225,2.27387,4.03188,0.02176,0,0.0019406,0.0019406,0.0019406
5,274.126,2.32942,2.89567,2.82452,0.01965,1.59411,0.26732,0.26159,0.18119,0.06197,0.23394,0.24138,0.13682,0.03748,2.06989,2.5899,3.604,0.02165,0,0.0019208,0.0019208,0.0019208
6,328.333,2.33077,2.86553,2.76433,0.01957,1.65542,0.22969,0.20809,0.16236,0.05745,0.24544,0.22235,0.14494,0.03131,2.10325,2.48043,2.97071,0.02162,0,0.001901,0.001901,0.001901
7,382.522,2.38818,2.78368,2.66421,0.0189,1.54063,0.25242,0.22949,0.16757,0.06653,0.22019,0.20927,0.13514,0.03118,2.07286,2.25843,2.80032,0.02196,0,0.0018812,0.0018812,0.0018812
8,436.672,2.32172,2.81766,2.54586,0.01816,1.53578,0.31319,0.21403,0.18836,0.06805,0.26144,0.19976,0.16102,0.03323,2.14663,2.30775,2.82359,0.02218,0,0.0018614,0.0018614,0.0018614
9,490.889,2.25858,2.80799,2.56882,0.01701,1.50828,0.30431,0.23187,0.20299,0.0768,0.28559,0.2176,0.17417,0.04702,1.99971,2.32105,2.80003,0.02066,0,0.0018416,0.0018416,0.0018416
10,545.207,2.18803,2.66753,2.40832,0.01661,1.51154,0.30462,0.28894,0.21761,0.08692,0.26432,0.26317,0.16856,0.04202,1.96316,2.17709,3.28901,0.01973,0,0.0018218,0.0018218,0.0018218
