epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,342.787,0.32611,0.56397,0.23441,0.63494,0.98102,0.12268,0.47599,0,0.00055164,0.00055164,0.00055164
2,685.234,0.0502,0.39521,0.05083,0.71686,0.98995,0.03278,0.30769,0,0.00109634,0.00109634,0.00109634
3,1027.43,0.02904,0.27898,0.01673,0.70949,0.98949,0.03998,0.27569,0,0.00163005,0.00163005,0.00163005
4,1369.69,0.02815,0.24192,0.01099,0.72074,0.99087,0.03681,0.25761,0,0.00161749,0.00161749,0.00161749
5,1711.88,0.02816,0.22013,0.00923,0.7326,0.99132,0.03803,0.23943,0,0.00160099,0.00160099,0.00160099
6,2054.13,0.02837,0.23278,0.00877,0.71892,0.98955,0.03954,0.25706,0,0.00158448,0.00158448,0.00158448
7,2396.35,0.02702,0.22441,0.00815,0.71386,0.99108,0.04142,0.25523,0,0.00156798,0.00156798,0.00156798
8,2738.56,0.02841,0.22574,0.00842,0.72713,0.99138,0.03623,0.24416,0,0.00155148,0.00155148,0.00155148
9,3080.83,0.02472,0.21751,0.00745,0.7401,0.99165,0.03188,0.24034,0,0.00153497,0.00153497,0.00153497
10,3422.98,0.0251,0.20419,0.00736,0.71776,0.99179,0.04095,0.27246,0,0.00151847,0.00151847,0.00151847
11,3765.27,0.02723,0.21474,0.00768,0.7226,0.99176,0.03685,0.24907,0,0.00150197,0.00150197,0.00150197
12,4107.44,0.02667,0.2078,0.00773,0.71971,0.99039,0.04096,0.24733,0,0.00148546,0.00148546,0.00148546
13,4449.64,0.02606,0.20312,0.00763,0.71387,0.98968,0.04434,0.25172,0,0.00146896,0.00146896,0.00146896
14,4791.84,0.02362,0.20086,0.00689,0.72336,0.99177,0.03697,0.25407,0,0.00145246,0.00145246,0.00145246
15,5134.21,0.02486,0.2065,0.00696,0.72766,0.99094,0.03957,0.24355,0,0.00143595,0.00143595,0.00143595
16,5476.38,0.02608,0.19439,0.00746,0.72116,0.9914,0.03748,0.26134,0,0.00141945,0.00141945,0.00141945
