filename,detected_holes,edge_parallel_rejected_components,edge_parallel_rejected_pixels,prediction_components,prediction_pixels,median_component_area_px
01_max_flat.png,13,3,2000,149,55212,153.0
02_max_flat.png,15,0,0,111,75579,201.0
04_max_flat.png,16,6,2525,79,51256,174.0
05_max_flat.png,18,1,1443,135,61467,199.0
06_max_flat.png,11,0,0,180,59846,174.0
07_max_flat.png,9,0,0,126,76500,197.5
08_max_flat.png,4,3,1869,10,10550,294.5
09_max_flat.png,11,4,2724,214,59792,191.0
100_max_flat.png,209,0,0,148,49194,155.0
102_max_flat.png,10,0,0,12,53542,1000.5
103_max_flat.png,185,4,5240,97,30151,145.0
105_max_flat.png,32,1,480,21,45531,2466.0
107_max_flat.png,13,4,1957,25,65737,2617.0
10_max_flat.png,13,0,0,127,30965,136.0
12_max_flat.png,28,0,0,46,21476,155.0
13_max_flat.png,2,1,956,39,32800,207.0
14_max_flat.png,0,2,1171,72,22471,175.0
15_max_flat.png,1,3,1467,82,30679,170.0
16_max_flat.png,1,6,3794,65,22242,177.0
71_max_flat.png,3,1,380,58,29816,178.5
72_max_flat.png,12,4,2111,245,59320,150.0
75_max_flat.png,20,8,7684,109,19358,135.0
76_max_flat.png,3,2,1630,57,20116,161.0
80_max_flat.png,14,0,0,121,33740,121.0
81_max_flat.png,14,0,0,91,66530,240.0
83_max_flat.png,18,2,2825,78,54483,170.0
88_max_flat.png,18,3,887,122,63684,172.0
90_max_flat.png,17,1,312,100,77671,188.0
92_max_flat.png,0,2,34679,1,142,142.0
95_max_flat.png,0,4,25320,3,519,158.0
96_max_flat.png,0,4,12949,2,1076,538.0
97_max_flat.png,0,1,10139,1,86,86.0
98_max_flat.png,0,1,4705,19,20058,207.0
99_max_flat.png,3,0,0,17,19907,127.0
