dimension,bin_low,bin_high,n_scratches,n_detected,detection_rate,ci95_low,ci95_high
area_px,0.0,100.0,177,86,0.4858757062146893,0.41333078977642923,0.5590206829853697
area_px,100.0,200.0,283,160,0.5653710247349824,0.5071230536106706,0.6218680627785711
area_px,200.0,400.0,308,180,0.5844155844155844,0.5286677863379589,0.6380836141866887
area_px,400.0,800.0,254,163,0.6417322834645669,0.5810561078508218,0.6981852536017195
area_px,800.0,1600.0,152,111,0.7302631578947368,0.6546751056926147,0.794499334342239
area_px,1600.0,3200.0,69,52,0.7536231884057971,0.6403933718423956,0.8401022218298245
area_px,3200.0,inf,60,38,0.6333333333333333,0.5068300063010303,0.7437908331277456
estimated_length_px,0.0,25.0,219,107,0.4885844748858447,0.4231502903589743,0.5544122331208995
estimated_length_px,25.0,50.0,397,252,0.6347607052896725,0.5863152333433113,0.6806232223613509
estimated_length_px,50.0,100.0,362,207,0.5718232044198895,0.5203592109400608,0.621778862113836
estimated_length_px,100.0,150.0,136,101,0.7426470588235294,0.6632176488598879,0.8087453909752854
estimated_length_px,150.0,250.0,83,53,0.6385542168674698,0.5311967999353614,0.7336536564289108
estimated_length_px,250.0,400.0,62,41,0.6612903225806451,0.5371769954935818,0.7665829812479109
estimated_length_px,400.0,800.0,29,18,0.6206896551724138,0.4400254420598852,0.7731197789919015
estimated_length_px,800.0,inf,15,11,0.7333333333333333,0.4804956594401943,0.8910254667430761
estimated_width_px,0.0,2.0,12,2,0.16666666666666666,0.04696514218385378,0.4480308622529734
estimated_width_px,2.0,4.0,263,143,0.5437262357414449,0.4833315451841167,0.6028619575108862
estimated_width_px,4.0,6.0,356,199,0.5589887640449438,0.5070549928958549,0.609663075493614
estimated_width_px,6.0,8.0,354,202,0.5706214689265536,0.5185719564668043,0.6211547263071271
estimated_width_px,8.0,12.0,240,180,0.75,0.6915695792009672,0.8005534608282535
estimated_width_px,12.0,20.0,64,53,0.828125,0.7178678837734179,0.9012225769875536
estimated_width_px,20.0,40.0,12,9,0.75,0.46769466506643426,0.9110583316059453
estimated_width_px,40.0,inf,2,2,1.0,0.34238022750665303,1.0
