dimension,bin_low,bin_high,n_scratches,n_detected,detection_rate,ci95_low,ci95_high
area_px,0.0,100.0,177,90,0.5084745762711864,0.435431393463088,0.5811577228798326
area_px,100.0,200.0,283,168,0.5936395759717314,0.5355329812500594,0.6492380773615568
area_px,200.0,400.0,308,189,0.6136363636363636,0.5581759675055428,0.6662970716622522
area_px,400.0,800.0,254,170,0.6692913385826772,0.609288638646483,0.7242496541996081
area_px,800.0,1600.0,152,112,0.7368421052631579,0.6616222951054884,0.8003857003589325
area_px,1600.0,3200.0,69,56,0.8115942028985508,0.7038706411837159,0.8864525167564403
area_px,3200.0,inf,60,44,0.7333333333333333,0.6099128690331636,0.8286735999671945
estimated_length_px,0.0,25.0,219,110,0.502283105022831,0.43659663197577403,0.5678908633282512
estimated_length_px,25.0,50.0,397,261,0.6574307304785895,0.6094394535649857,0.702404536744199
estimated_length_px,50.0,100.0,362,217,0.5994475138121547,0.5481804927393438,0.6486260699506671
estimated_length_px,100.0,150.0,136,106,0.7794117647058824,0.7025855804955782,0.8408870108297729
estimated_length_px,150.0,250.0,83,55,0.6626506024096386,0.5557544528437193,0.75515695245347
estimated_length_px,250.0,400.0,62,45,0.7258064516129032,0.6040746035801102,0.8211893638579796
estimated_length_px,400.0,800.0,29,22,0.7586206896551724,0.5789239838218867,0.8778157755747991
estimated_length_px,800.0,inf,15,13,0.8666666666666667,0.6211801716767764,0.9626387408969346
estimated_width_px,0.0,2.0,12,3,0.25,0.08894166839405471,0.5323053349335657
estimated_width_px,2.0,4.0,263,155,0.5893536121673004,0.529027251228182,0.6471072977572587
estimated_width_px,4.0,6.0,356,212,0.5955056179775281,0.5437660333813665,0.6452060773444401
estimated_width_px,6.0,8.0,354,207,0.5847457627118644,0.5327723099858358,0.634899709342882
estimated_width_px,8.0,12.0,240,188,0.7833333333333333,0.7269687195982353,0.8307707257682146
estimated_width_px,12.0,20.0,64,53,0.828125,0.7178678837734179,0.9012225769875536
estimated_width_px,20.0,40.0,12,9,0.75,0.46769466506643426,0.9110583316059453
estimated_width_px,40.0,inf,2,2,1.0,0.34238022750665303,1.0
