filename,detected_holes,edge_parallel_rejected_components,edge_parallel_rejected_pixels,components,detected_pixels,median_component_area_px
01_max_flat.png,13,3,2000,163,57179,149.0
02_max_flat.png,15,0,0,129,81286,207.0
04_max_flat.png,16,6,2525,104,56729,156.5
05_max_flat.png,18,1,1443,157,67499,181.0
06_max_flat.png,11,0,0,201,63586,170.0
07_max_flat.png,9,0,0,132,77419,196.5
08_max_flat.png,4,3,1869,100,79673,179.5
09_max_flat.png,11,4,2724,214,59792,191.0
100_max_flat.png,209,0,0,148,49194,155.0
102_max_flat.png,10,0,0,71,81808,139.0
103_max_flat.png,185,4,5240,97,30151,145.0
105_max_flat.png,32,1,480,61,84492,333.0
107_max_flat.png,13,4,1957,39,72179,1816.0
10_max_flat.png,13,0,0,127,30965,136.0
12_max_flat.png,28,0,0,46,21476,155.0
13_max_flat.png,2,1,956,57,37275,187.0
14_max_flat.png,0,2,1171,120,34577,173.5
15_max_flat.png,1,3,1467,94,33392,171.5
16_max_flat.png,1,6,3794,97,29328,163.0
71_max_flat.png,3,1,380,64,30685,170.0
72_max_flat.png,12,4,2111,273,63505,148.0
75_max_flat.png,20,8,7684,235,43558,132.0
76_max_flat.png,3,2,1630,105,34383,175.0
80_max_flat.png,14,0,0,121,33740,121.0
81_max_flat.png,14,0,0,100,68884,222.0
83_max_flat.png,18,2,2825,97,58761,168.0
88_max_flat.png,18,3,887,130,66068,176.0
90_max_flat.png,17,1,312,110,79272,188.0
92_max_flat.png,0,2,34679,60,11031,123.0
95_max_flat.png,0,4,25320,65,16919,146.0
96_max_flat.png,0,4,12949,54,19757,140.5
97_max_flat.png,0,1,10139,45,18749,171.0
98_max_flat.png,0,1,4705,23,21758,253.0
99_max_flat.png,3,0,0,31,38537,150.0
