timestamp;dataset_name;series_number;lighting_height_mm;led_brightness;camera_height_mm;camera_aperture_f_number;camera_focus_distance_m;camera_AcquisitionMode;camera_TriggerMode;camera_PixelFormat;camera_ExposureAuto;camera_ExposureTime;camera_GainAuto;camera_Gain;camera_BalanceWhiteAuto
2026-07-22T11:08:15+02:00;images;1;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:08:15+02:00;images;2;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:08:15+02:00;images;3;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:08:15+02:00;images;4;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:08:15+02:00;images;5;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:08:15+02:00;images;6;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:08:15+02:00;images;7;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:08:15+02:00;images;8;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:08:15+02:00;images;9;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:08:15+02:00;images;10;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:08:15+02:00;images;11;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:08:15+02:00;images;12;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:08:15+02:00;images;13;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:08:15+02:00;images;14;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:08:15+02:00;images;15;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:08:15+02:00;images;16;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:16:59+02:00;images;17;0.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:17:48+02:00;images;18;0.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:20:00+02:00;images;19;0.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:21:46+02:00;images;20;0.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:22:46+02:00;images;21;0.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:23:34+02:00;images;22;0.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:25:07+02:00;images;23;0.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:26:02+02:00;images;24;0.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:27:10+02:00;images;25;0.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:28:05+02:00;images;26;0.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:29:04+02:00;images;27;0.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:29:44+02:00;images;28;0.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:30:24+02:00;images;29;0.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:31:56+02:00;images;30;0.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:35:11+02:00;images;31;30.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:36:24+02:00;images;32;30.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:37:22+02:00;images;33;30.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:38:38+02:00;images;34;30.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:41:35+02:00;images;35;30.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:42:17+02:00;images;36;30.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:43:20+02:00;images;37;30.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:44:59+02:00;images;38;30.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:45:59+02:00;images;39;30.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:46:45+02:00;images;40;30.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:47:46+02:00;images;41;30.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:49:10+02:00;images;42;30.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:50:07+02:00;images;43;30.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:51:13+02:00;images;44;30.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:52:05+02:00;images;45;30.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:56:09+02:00;images;46;90.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:58:50+02:00;images;47;90.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T11:59:51+02:00;images;48;90.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T12:00:31+02:00;images;49;90.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T12:01:27+02:00;images;50;90.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T12:02:13+02:00;images;51;90.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T12:03:02+02:00;images;52;90.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T12:03:43+02:00;images;53;90.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T12:04:28+02:00;images;54;90.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T12:05:10+02:00;images;55;90.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T12:06:00+02:00;images;56;90.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T12:06:40+02:00;images;57;90.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T12:07:28+02:00;images;58;90.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T12:08:46+02:00;images;59;90.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T12:12:08+02:00;images;60;120.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T15:26:42+02:00;images;63;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T15:28:20+02:00;images;63;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T15:30:47+02:00;images;64;60.0;1.0;375.0;6.25;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T15:33:19+02:00;images;65;60.0;1.0;375.0;7.0;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T15:36:49+02:00;images;66;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T15:42:05+02:00;images;67;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;20000.0;Off;0.0;Off
2026-07-22T15:44:20+02:00;images;68;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;25000.0;Off;0.0;Off
2026-07-22T15:47:29+02:00;images;69;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;35000.0;Off;0.0;Off
2026-07-22T15:49:59+02:00;images;70;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;40000.0;Off;0.0;Off
2026-07-22T15:53:50+02:00;images;71;60.0;1.0;375.0;5.5;0.37;Continuous;Off;Mono8;Off;30000.0;Off;0.0;Off
2026-07-22T16:00:14+02:00;images;72;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:00:54+02:00;images;73;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:01:36+02:00;images;74;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:02:28+02:00;images;75;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:06:03+02:00;images;76;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:06:41+02:00;images;77;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:07:34+02:00;images;78;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:08:35+02:00;images;79;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:12:55+02:00;images;80;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:14:05+02:00;images;81;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:14:55+02:00;images;82;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:15:30+02:00;images;83;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:16:25+02:00;images;84;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:16:57+02:00;images;85;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:17:50+02:00;images;86;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:19:18+02:00;images;87;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:20:05+02:00;images;88;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:21:05+02:00;images;89;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:22:22+02:00;images;90;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:23:05+02:00;images;91;60.0;1.0;375.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:58:38+02:00;images;92;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T16:59:46+02:00;images;93;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T17:00:33+02:00;images;94;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T17:01:05+02:00;images;95;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T17:02:24+02:00;images;96;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T17:03:09+02:00;images;97;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T17:04:00+02:00;images;98;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T17:04:31+02:00;images;99;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T17:08:37+02:00;images;100;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T17:09:34+02:00;images;101;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T17:11:03+02:00;images;102;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T17:12:16+02:00;images;103;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T17:13:20+02:00;images;104;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T17:17:27+02:00;images;105;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T17:18:12+02:00;images;106;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T17:19:10+02:00;images;107;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
2026-07-22T17:19:57+02:00;images;108;90.0;1.0;420.0;5.5;0.37;Continuous;Off;BayerRG8;Off;30000.0;Off;0.0;Off
